"행정구역(시군구)별",2022.09,2022.10,2022.11,2016,2017,2018,2019,2020,2021
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"서울특별시",9450768,9443722,9436836,9930616,9857426,9765623,9729107,9668465,9509458
"종로구",141978,141861,141650,152737,154770,153065,151290,149384,144683
"중구",120969,120648,120545,125249,125709,125725,126171,125240,122499
"용산구",219275,219102,218945,230241,229161,228999,228670,230040,222953
"성동구",282250,281694,281370,299259,304808,308221,300889,293556,285990
"광진구",338257,337900,337713,357215,357703,355559,351350,346682,339996
"동대문구",337106,337273,337241,355069,350647,348052,346194,342837,337400
"중랑구",386390,385976,385638,411005,408226,403209,397015,394702,387350
"성북구",431827,431581,431047,450355,444055,435868,442650,437153,430528
"강북구",294876,294429,293984,327195,324479,319164,313954,308055,299182
"도봉구",312788,312427,312053,348220,344166,339413,333362,325257,317366
"노원구",505503,505058,504609,567581,554403,543752,532905,523037,510956
"은평구",470289,468988,467851,491476,486794,483197,480032,479835,473307
"서대문구",305149,305113,305541,314194,312800,310313,309397,312173,304819
"마포구",365266,364698,364374,379892,374915,375077,374035,371890,368905
"양천구",442145,441749,441550,477739,471154,464185,458165,454251,447302
"강서구",570368,570011,569456,595485,601691,596949,591796,580185,574315
"구로구",393181,394212,394811,417551,410742,404497,406664,404408,396754
"금천구",230504,230156,229890,235386,235154,233917,232810,231733,230811
"영등포구",376216,375849,375785,370613,368550,367778,367678,379480,376837
"동작구",383637,382747,381704,400997,396217,396203,395963,391220,385483
"관악구",486787,487201,487038,506851,503297,501957,500094,495060,485699
"서초구",405076,404902,404704,447192,441102,433951,430826,425126,412279
"강남구",530103,529946,529698,567115,556164,542364,545169,539231,533042
"송파구",660211,659788,659381,657831,664496,666635,675961,667960,658338
"강동구",460617,460413,460258,444168,436223,427573,436067,459970,462664
