"","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
"2011",87.27,42.98,34.23,42.24,36.74,41.3,42.23,31.51,45.13,39.51,42.59,42.05,47.97,41.4,81.58,53.1,41.9,58.73,46,43.69,62.55,36.73,48.54,56.33,34.61
"2012",87.7,44.87,37.11,42.04,38.34,43.09,43.85,33.42,45.85,40.95,42.79,43.25,50.08,42.64,83.79,58.17,44.94,60.34,47,48.31,62.51,39.02,50.15,62.67,35.59
"2013",87.01,42.19,36.64,41.93,39.25,43.03,43.51,34.14,45.96,40.47,44.02,44.99,51.95,43.89,80.75,57.43,44.24,59.79,46.9,46.14,63.4,38.62,51.19,64.5,36.35
"2014",83.54,42.67,35.69,41.45,39.28,43.43,43.81,34.28,44.94,40.27,43.75,44.56,52.16,44.34,77.39,57.71,44.22,58.5,45.89,46.97,60.54,39.53,50.88,61.91,36.91
"2015",85.61,43.37,37.15,43.38,39.5,44.39,43.46,35.04,45.51,40.64,44.91,46.17,55.81,46.81,79.1,61.19,45.12,58.73,48.62,48.34,65.14,40.28,54.17,64.73,37.76
"2016",86.04,43.61,38.98,43.96,39.98,44.78,43.9,36.52,44.63,41.79,45.86,45.57,55.95,49.81,78.78,60.74,45.77,55.86,47.09,48.7,65.14,41.52,56.05,65.31,37.78
"2017",88.35,45,38.75,46.1,41.09,45.29,43.98,37.27,44.97,42.45,47.33,46.15,58.31,49.82,84.21,67.7,46.49,59.43,49.13,49.32,68.29,43.27,61.63,70.36,37.67
"2018",91.7,43.56,39.04,46.53,40.98,45.92,43.43,37.41,44.26,42.91,47.14,47.51,57.95,50.37,88.22,69.84,46.52,60.53,49.79,49.57,70.63,42.92,57.42,68.16,37.35
"2019",93.35,45.19,40.17,46.57,41.66,46,43.99,38.26,45.88,41.63,47.75,47.46,59.67,50.5,85.71,68.4,48.28,64.46,51.08,49.52,74.2,42.78,60.96,68.82,36.93
"2020",101.82,47.97,40.13,46.88,40.53,47.53,43.39,38.84,46.92,43.62,48.5,47.96,58.35,53.01,91.92,69.68,47.72,63.57,52.92,51.92,75.8,44.18,60.14,66.32,38.41
"2021",110.25,45.06,42.19,48.03,41.87,49.62,43.43,43.5,49.48,45.69,51.24,51.66,62.32,56.06,98.07,84.15,51.38,68.96,53,54.62,85.34,44.38,66.51,71.23,39.35
